"EAUS_Educational attainment, at least completed upper secondary (ISCED 3 or more) (% population aged 25+), by sex"

"Country (Engl. Name/Nat. Name)";"Sex";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"DE Germany/Deutschland ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;71.26;70.55;70.93;72.42;73.67;74.38;75.17;75.96;76.48;77.07;77.93;78.30;78.61;..
"DE Germany/Deutschland ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;86.18;85.26;85.26;86.29;87.11;87.26;87.47;87.84;87.95;87.84;88.39;88.15;87.63;..
"EL Greece/Ellada ";"Total";..;..;..;..;..;..;..;..;..;..;..;21.20;..;..;..;..;..;..;..;..;..;30.70;..;..;..;..;..;..;..;..;..;..;..;..;..;48.98;44.42;52.17;52.67;..;53.66;..;..;..;56.27;57.93;54.64;..
"EL Greece/Ellada ";"Female";..;..;..;..;..;..;..;..;..;..;..;18.00;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;46.10;40.87;49.35;49.82;..;51.42;..;..;..;55.11;56.92;52.41;..
"EL Greece/Ellada ";"Male";..;..;..;..;..;..;..;..;..;..;..;24.69;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;52.05;48.19;55.16;55.68;..;56.03;..;..;..;57.54;59.01;57.03;..
"HU Hungary/Magyarország ";"Total";15.89;..;..;..;..;..;..;..;..;..;30.57;..;..;..;..;..;..;..;..;..;40.86;..;..;..;..;..;..;..;..;..;..;55.07;..;..;..;63.55;..;..;..;74.54;75.69;76.66;77.63;78.49;74.12;75.10;76.06;..
"HU Hungary/Magyarország ";"Female";13.02;..;..;..;..;..;..;..;..;..;24.65;..;..;..;..;..;..;..;..;..;34.74;..;..;..;..;..;..;..;..;..;..;48.99;..;..;..;57.38;..;..;..;70.55;71.75;72.93;74.13;75.09;69.84;71.07;71.95;..
"HU Hungary/Magyarország ";"Male";19.16;..;..;..;..;..;..;..;..;..;37.28;..;..;..;..;..;..;..;..;..;47.94;..;..;..;..;..;..;..;..;..;..;62.24;..;..;..;70.81;..;..;..;78.96;80.06;80.76;81.49;82.22;79.11;79.77;80.82;..
"IS Iceland/Ísland ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;60.74;..;..;..;..;..;..;..;..;..;..;..;..
"IS Iceland/Ísland ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;54.84;..;..;..;..;..;..;..;..;..;..;..;..
"IS Iceland/Ísland ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;66.60;..;..;..;..;..;..;..;..;..;..;..;..
"IE Ireland/Ireland ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;41.67;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;60.54;..;..;66.59;66.37;..;..;..;..;..;70.78
"IE Ireland/Ireland ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;42.78;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;62.47;..;..;68.30;68.75;..;..;..;..;..;73.32
"IE Ireland/Ireland ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;40.50;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;50.13;..;..;64.80;63.88;..;..;..;..;..;68.08
"na Israel/Israel ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;76.76;..;77.34;77.59;78.54;80.29;80.66;81.23;81.44;..;..
"na Israel/Israel ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;77.05;..;77.71;77.76;78.68;79.87;80.44;81.07;81.30;..;..
"na Israel/Israel ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;76.46;..;76.94;77.41;78.39;80.75;80.88;81.41;81.60;..;..
"IT Italy/Italia ";"Total";..;..;..;..;..;..;..;..;..;..;..;15.30;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;35.44;..;..;..;40.50;41.41;43.09;44.00;44.73;45.50;46.16;47.28;..;48.64;49.15;..;..
"IT Italy/Italia ";"Female";..;..;..;..;..;..;..;..;..;..;..;12.70;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;33.83;..;..;..;38.68;39.66;41.66;42.74;43.26;44.10;45.02;46.30;..;47.57;48.22;..;..
"IT Italy/Italia ";"Male";..;..;..;..;..;..;..;..;..;..;..;18.21;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;37.24;..;..;..;42.49;43.32;44.65;45.38;46.33;47.03;47.42;48.36;..;49.81;50.17;..;..
"na Japan/Japan ";"Total";38.58;..;..;..;..;..;..;..;..;..;54.01;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;80.34;..;..;..;..;..;..;..
"na Japan/Japan ";"Female";35.64;..;..;..;..;..;..;..;..;..;51.63;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;79.08;..;..;..;..;..;..;..
"na Japan/Japan ";"Male";41.77;..;..;..;..;..;..;..;..;..;56.59;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;81.73;..;..;..;..;..;..;..
"na Kosovo/Kosovo";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"na Kosovo/Kosovo";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"na Kosovo/Kosovo";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"na Kyrgyz Republic/Kyrgyzskaya Respublika ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;76.97;..;..;..;..;..;..;..;..;..;88.37;..;..;..;..;..;..;..;..
"na Kyrgyz Republic/Kyrgyzskaya Respublika ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;74.72;..;..;..;..;..;..;..;..;..;87.09;..;..;..;..;..;..;..;..
"na Kyrgyz Republic/Kyrgyzskaya Respublika ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;79.44;..;..;..;..;..;..;..;..;..;89.73;..;..;..;..;..;..;..;..
"LV Latvia/Latvija ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;79.05;80.08;79.83;80.97;82.16;84.13;85.57;85.08;86.34;87.16;87.79;88.60;89.41;..
"LV Latvia/Latvija ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;80.05;81.54;81.63;83.10;84.27;86.51;87.87;87.44;88.56;89.30;90.21;90.83;91.05;..
"LV Latvia/Latvija ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;77.89;78.34;77.72;78.47;79.68;81.34;82.89;82.24;83.71;84.63;84.93;86.00;87.50;..
