unmet,Latitude,Longitude
0,52.638039,70.422331
,52.648442,70.419057
1,52.638039,70.422331
0,52.647683,70.420311
,52.638039,70.422331
,52.638039,70.422331
,52.647683,70.420311
1,52.638039,70.422331
1,52.648442,70.419057
0,52.647683,70.420311
0,52.638039,70.422331
1,52.638039,70.422331
,52.638039,70.422331
,52.648442,70.419057
,52.638039,70.422331
,52.638039,70.422331
0,52.638039,70.422331
,52.638039,70.422331
,45.044419,65.269365
1,45.044419,65.269365
,45.044419,65.269365
,45.044419,65.269365
0,45.044419,65.269365
1,,
,53.661668,69.063583
,53.661668,69.063583
,53.661668,69.063583
0,53.661668,69.063583
,53.661668,69.063583
1,53.661668,69.063583
1,53.661668,69.063583
,53.661668,69.063583
,53.661668,69.063583
,53.661668,69.063583
,53.661668,69.063583
0,53.661668,69.063583
1,53.661668,69.063583
,53.661668,69.063583
0,53.661668,69.063583
,51.958436,66.408502
0,51.953423,66.412186
0,51.953423,66.412186
,51.953423,66.412186
,51.953423,66.412186
0,51.953423,66.412186
0,51.953423,66.412186
,51.953423,66.412186
,51.953423,66.412186
,51.953423,66.412186
0,51.953423,66.412186
,51.956002,66.402638
,51.953423,66.412186
,51.953423,66.412186
,51.953423,66.412186
0,51.953423,66.412186
,51.953423,66.412186
0,51.953423,66.412186
0,51.953423,66.412186
,51.953423,66.412186
,51.912729,67.314551
,51.912729,67.314551
0,51.912729,67.314551
,51.912729,67.314551
,51.912729,67.314551
0,51.912729,67.314551
,51.912729,67.314551
,51.912729,67.314551
,51.912729,67.314551
,51.912729,67.314551
,51.912729,67.314551
,51.912729,67.314551
,51.912729,67.314551
,51.912729,67.314551
0,51.912729,67.314551
,51.912729,67.314551
,51.912729,67.314551
,51.912729,67.314551
0,51.912729,67.314551
,51.912729,67.314551
1,52.912038,69.164746
1,52.912038,69.164746
,52.912038,69.164746
,52.912038,69.164746
,52.912038,69.164746
0,52.912038,69.164746
1,52.912038,69.164746
0,52.912038,69.164746
,52.912038,69.164746
1,52.912038,69.164746
0,52.912038,69.164746
,52.912038,69.164746
0,52.912038,69.164746
1,52.912038,69.164746
1,52.912038,69.164746
,52.912038,69.164746
1,52.912038,69.164746
,52.912038,69.164746
,52.912038,69.164746
1,52.912038,69.164746
,52.912038,69.164746
,52.10893,66.816899
1,52.10893,66.816899
1,52.10893,66.816899
1,52.10893,66.816899
